Date,Asianpaint Open,Asianpaint High,Asianpaint Low,Asianpaint Close,Asianpaint AdjClose,Asianpaint Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart AdjClose,Dmart Volume,,,,,,,,,,,,
03-01-2024,3391.350098,3399,3365,3373.600098,3341.271484,379131,4080,4080,3919.399902,3932.350098,3932.350098,964470,,,,,,,,,,02-01-2024,3396,3391.350098
04-01-2024,3372,3401.25,3363.800049,3379.949951,3347.560547,777127,3965,3965,3888,3897.850098,3897.850098,754490,,,,,,,,,,03-01-2024,3391.350098,3373.600098
05-01-2024,3379.949951,3380.399902,3348,3355.550049,3323.394531,416956,3902,3940,3810,3863.5,3863.5,513823,,,,,,,,,,04-01-2024,3372,3379.949951
08-01-2024,3355,3376.5,3294.850098,3298.399902,3266.791992,545884,3893.949951,3919.899902,3791,3804.399902,3804.399902,692896,,,,,,,,,,05-01-2024,3379.949951,3355.550049
09-01-2024,3310,3315,3262.25,3267.5,3236.188232,670704,3810.100098,3850,3787,3810.75,3810.75,440688,,,,,,,,,,08-01-2024,3355,3298.399902
10-01-2024,3292,3293,3258.199951,3286.850098,3255.352783,691087,3818.899902,3837.949951,3792.350098,3822,3822,338253,,,,,,,,,,09-01-2024,3310,3267.5
11-01-2024,3286.850098,3309.199951,3270.699951,3288.199951,3256.689697,537469,3845,3845,3805,3821.350098,3821.350098,213492,,,,,,,,,,10-01-2024,3292,3286.850098
12-01-2024,3294.949951,3294.949951,3244,3277.800049,3246.389404,673004,3827.949951,3848,3794.100098,3841,3841,456627,,,,,,,,,,11-01-2024,3286.850098,3288.199951
15-01-2024,3282.199951,3287.199951,3258.600098,3273.899902,3242.526611,728116,3924.949951,3933,3851,3858.25,3858.25,505101,,,,,,,,,,12-01-2024,3294.949951,3277.800049
16-01-2024,3274.949951,3320,3273.899902,3296.899902,3265.306396,748215,3860,3865,3807,3828.300049,3828.300049,445672,,,,,,,,,,15-01-2024,3282.199951,3273.899902
17-01-2024,3294.100098,3304.350098,3193.050049,3242.300049,3211.229736,2239241,3750,3811.899902,3750,3786.449951,3786.449951,516399,,,,,,,,,,16-01-2024,3274.949951,3296.899902
18-01-2024,3257.949951,3257.949951,3048.600098,3163.850098,3133.531494,1979174,3786.449951,3790,3740,3748.850098,3748.850098,489754,,,,,,,,,,17-01-2024,3294.100098,3242.300049
19-01-2024,3177.800049,3201.550049,3148.600098,3165.850098,3135.512451,936201,3762.949951,3768.699951,3704.5,3731.699951,3731.699951,565533,,,,,,,,,,18-01-2024,3257.949951,3163.850098
23-01-2024,3087.550049,3109,3021.550049,3054.699951,3025.427246,2365225,3675,3714,3651.050049,3675.899902,3675.899902,299750,,,,,,,,,,19-01-2024,3177.800049,3165.850098
24-01-2024,3055,3055,2976.100098,2999.449951,2970.706787,2665932,3675.899902,3748,3646.050049,3727.75,3727.75,316651,,,,,,,,,,23-01-2024,3087.550049,3054.699951
25-01-2024,3010.050049,3016,2942.300049,2949.199951,2920.938232,2001961,3731,3750,3695.5,3734.25,3734.25,200269,,,,,,,,,,24-01-2024,3055,2999.449951
29-01-2024,2940.050049,2988.449951,2940.050049,2976.050049,2947.531006,1862723,3700,3764.199951,3689,3749.399902,3749.399902,216522,,,,,,,,,,25-01-2024,3010.050049,2949.199951
30-01-2024,2990,3005,2951.050049,2954.100098,2925.791504,1273188,3740,3772.850098,3680,3687.300049,3687.300049,263265,,,,,,,,,,29-01-2024,2940.050049,2976.050049
